Problem,Difficulty,Domain,Notes
Parking Lot,Simple,Local Services,
Coffee Shop (basic POS/orders),Simple,General,
"Vending Machine (card/cash, fixed slots)",Simple,General,
Traffic Light Controller,Simple,General,
Snake & Ladder,Simple,General,
Tic-Tac-Toe,Simple,General,
LRU Cache,Simple,Infrastructure/DevTools,
Logger Library / Logging Framework (basic),Simple,Infrastructure/DevTools,
CSV Parser,Simple,General,
JSON Parser (validate while parsing; string keys/values/objects),Simple,General,
"TextPad (insert/delete, undo/redo)",Simple,General,
In-Memory Store (tables add/remove; simple get/set),Simple,General,
Game Scoreboard,Simple,General,
Phonebook / Contacts,Simple,General,
Budget Tracker,Simple,P2P/Networking,
Random Password Generator,Simple,General,
Queue Using Two Stacks,Simple,Infrastructure/DevTools,
Bank Account (deposit/withdraw/balance),Simple,General,
Meeting Room Availability (single room),Simple,Productivity,
Guitar Inventory (catalog + simple search),Simple,Infrastructure/DevTools,
Bill Summary (single order),Simple,General,
Clipboard-like Saver (max clips),Simple,General,
Quizzing App (basic),Simple,Education,
Cache Mechanism (single-process),Simple,Infrastructure/DevTools,
Unique ID Generator (single node),Simple,Infrastructure/DevTools,
Currency Converter (offline rates),Simple,General,
Dice Roller,Simple,General,
Library Management,Medium,General,
Movie Ticket Booking,Medium,General,
Car Rental System,Medium,General,
Hotel Management,Medium,Local Services,
Restaurant Management,Medium,Local Services,
Amazon Locker (package→locker fit/assign),Medium,Commerce/Retail,
Car Service Station,Medium,Local Services,
Bill-Sharing App (Splitwise core),Medium,General,
Meeting Room Scheduler (n rooms; conflicts; history; queries),Medium,Productivity,
Task Planner (bugs/features/stories; sprints),Medium,Productivity,
Jira-like (task types & statuses; subtasks; sprints; print views),Medium,Productivity,
Finite State Machine (extensible; per-state/global notifications),Medium,General,
Q&A for Products (Amazon/Walmart style),Medium,Commerce/Retail,
Suggestion System (type-ahead/recommend simple),Medium,General,
Video Upload with Resume (chunked; low bandwidth),Medium,Media/Collab/Tools,
Learning Management System (teachers upload; notifications; resume),Medium,Education,
Survey / Forms (Google Forms-like),Medium,Education,
Calendar App (CRUD events; invitations; common free slot),Medium,Productivity,
Truecaller-like (number lookup; basic spam tagging),Medium,Social/Communication,
"Call Centre (queues, skills-based routing, states)",Medium,Infrastructure/DevTools,
Thread Pool (fixed/work-stealing basics),Medium,Infrastructure/DevTools,
Chat Server (1–1 & small groups; delivery/receipts),Medium,Social/Communication,
"Online Card Game (rooms, turns, scoring)",Medium,General,
Multi-Level Cache (in-proc + Redis + DB; write/read policies),Medium,Infrastructure/DevTools,
"Social Media Feed (timeline, pagination, reactions)",Medium,Social/Communication,
"Configuration Management (CRUD, search, subscribe/notify)",Medium,Infrastructure/DevTools,
"Comments Filtering (moderation hooks, rules)",Medium,General,
"Mock Interview System (matching, rooms, feedback)",Medium,Productivity,
"ATS – Application Tracking System (stages, interviews)",Medium,Productivity,
"Logistics (orders, shipments, hubs — single region)",Medium,Infrastructure/DevTools,
Inventory System,Medium,Logistics/Supply Chain,
Warehouse Management System,Medium,Logistics/Supply Chain,
Community Discussion Platform,Medium,Social/Communication,
Restaurant/Mall Waiting Queue & Table Assignment,Medium,Infrastructure/DevTools,
Online Assessment Platform (score; ranks/mock ranks),Medium,General,
"e-KYC Onboarding (doc upload, review workflow)",Medium,Identity/Security/Legal,
"Secure CMS (roles, versioning, approvals)",Medium,General,
Freelancing Hiring Platform,Medium,HR/Talent,
"Monitoring & Alerts (rules, thresholds, channels)",Medium,Infrastructure/DevTools,
"e-Filing ITR (forms, validation, submission workflow)",Medium,Gov/Tax,
Blue/Grey Collar Job Board (multi-language),Medium,HR/Talent,
"Product Hunt-like (submit, votes, rankings)",Medium,General,
Salary Info/Comparison (Glassdoor-like),Medium,HR/Talent,
Price / Product Comparison,Medium,General,
"Virtual Event Platform (sessions, chat, Q&A)",Medium,Social/Communication,
Short Story / Micro‑blog Platform,Medium,Infrastructure/DevTools,
User Activity Tracking (mobile events; sessions),Medium,General,
API Aggregator (fan‑out to 3 services; compose response),Medium,General,
SaveNumbers / GetMedian Service (streaming median),Medium,Media/Collab/Tools,
Personal Portfolio / Holdings Tracker,Medium,Fintech/Commerce,
Generic Coupon/Promocode Engine (rules & constraints),Medium,Fintech/Commerce,
Order Management System (OMS core),Medium,Commerce/Retail,
Service to View/Add/Remove Document Viewers,Medium,General,
Chemical Store (substances & constituents; queryable),Medium,Fintech/Commerce,
Hospital Appointment Booking (doctor slots; reminders),Medium,Fintech/Commerce,
Google Stock Wizard (screeners),Medium,Fintech/Commerce,
Navigation Alerts (speed/turn/incident),Medium,Infrastructure/DevTools,
Data Quality Improvement Pipeline (ingest → clean → enrich → publish),Medium,Data/ETL,
"Online Audio/Video Downloader (queue, retries)",Medium,Infrastructure/DevTools,
Maps Navigator Client (A→B; walk/car/bus/bike),Medium,Maps/Geo/Aviation,
"Home Automation (devices, rules, remote control)",Medium,General,
Retry Queue System (exponential backoff),Medium,Infrastructure/DevTools,
Logging Aggregator (multi-sink; filters),Medium,Infrastructure/DevTools,
Version Control (minimal Git-like),Medium,General,
Game Matchmaking (ranked/unranked),Medium,General,
"Podcast Manager (feeds, downloads)",Medium,Social/Communication,
Cab Matching Dispatcher (without surge),Medium,Mobility/Transportation,
Print Queue System,Medium,Infrastructure/DevTools,
Voting / Polling System,Medium,General,
"Order Processing Pipeline (idempotency, retries)",Medium,Data/ETL,
Weather Update Feed (push/poll),Medium,Social/Communication,
Wishlist Service,Medium,Commerce/Retail,
Review & Ratings Service,Medium,General,
Restaurant Table Booking,Medium,Local Services,
Gift Card Service,Medium,General,
"Blogging Platform (posts, tags, comments)",Medium,Infrastructure/DevTools,
Video Player Controls (seek/buffer policies),Medium,Media/Collab/Tools,
"Online Judge (submissions, verdicts, queues)",Medium,Infrastructure/DevTools,
Online Exam Proctoring (events; flags),Medium,Education,
Package Tracking (carrier events),Medium,General,
Currency Exchange Booth (rates; spreads),Medium,General,
Document Collaboration (no real‑time OT),Medium,Media/Collab/Tools,
"Meeting Scheduler API (availability, history, notifications)",Medium,Productivity,
Online Shopping / Marketplace (catalog/cart/orders/payments/offers),Hard,Fintech/Commerce,
"Stack Overflow‑like (Q&A, votes, tags, moderation, search)",Hard,General,
"LinkedIn (feed, connections, messages)",Hard,Social/Communication,
Facebook (feed/graph/notifications),Hard,Social/Communication,
"WhatsApp (E2E concepts, multi‑device sync)",Hard,Productivity,
"CricInfo (live scores, commentary, stats)",Hard,Productivity,
Online Stock Broking (orders/positions/corporate actions),Hard,Fintech/Commerce,
"Airline Management (routes, PNR, seat maps, ops)",Hard,Maps/Geo/Aviation,
Chess (full rules; pluggable engine strategies),Hard,General,
"Blackjack & Deck of Cards (bets, rounds, payouts)",Hard,General,
Ride Sharing with Overlap Matching (max overlap collision rule),Hard,Mobility/Transportation,
"Airport Runway Allocation (locking, queuing, ATC messaging)",Hard,Mobility/Transportation,
Payment System (auth/capture/refund/recon),Hard,Fintech/Commerce,
"Payment Gateway (Razorpay‑like: routing, retries, webhooks, settlement)",Hard,Fintech/Commerce,
Distributed ID Generation (global uniqueness; k‑order),Hard,General,
"Truecaller at Scale (spam graph, search, privacy)",Hard,Social/Communication,
Rate Limiter – Distributed (token/sliding window),Hard,Infrastructure/DevTools,
"Task Scheduler – Distributed (cron, locks, retries)",Hard,Productivity,
"Social Feed at Scale (ranking, fan‑out/fan‑in, cold start)",Hard,Social/Communication,
"Messaging Queueing System (multi‑queues, regex subs, deps, batching, retries)",Hard,Infrastructure/DevTools,
Live Auction Platform (Ebay/IPL/EPL; reserve; autobid; webhooks),Hard,Commerce/Retail,
"Logistics – Multi‑region (routing, SLAs, reattempts)",Hard,Infrastructure/DevTools,
Browser Testing Cloud (BrowserStack/Sauce Labs‑like),Hard,Media/Collab/Tools,
"Real‑Time Collaboration (OT/CRDT, presence)",Hard,Media/Collab/Tools,
"Visual Workplace for Remote Teams (boards, async presence)",Hard,Media/Collab/Tools,
Online UML Diagram Tool (real‑time),Hard,Infrastructure/DevTools,
"Game Streaming Platform (low‑latency, chat)",Hard,Social/Communication,
Real‑Time Translation Platform (streaming),Hard,Media/Collab/Tools,
"Digital‑Video KYC (liveness, OCR, reviewer workflow)",Hard,Identity/Security/Legal,
"Short Video Platform (TikTok‑like: upload, transcode, feed, moderation)",Hard,Social/Communication,
"Secure Login even if TLS Compromised (binding, channel token)",Hard,Identity/Security/Legal,
"Torrent Service (DHT, trackers, pieces, seeding)",Hard,P2P/Networking,
Bigbasket‑like (local retailers; store inventory/fulfillment),Hard,Commerce/Retail,
Limit Order Book / Matching Engine (price‑time priority),Hard,Fintech/Commerce,
"E‑Signature (DocuSign‑like; envelopes, flows, seals)",Hard,Identity/Security/Legal,
Unique ID per Request at Millions QPS (clustered generator),Hard,General,
"Kafka – Design & Implementation (log segments, offsets, replication)",Hard,Infrastructure/DevTools,
"RocksDB – LSM KV Store (memtables, SSTs, compaction)",Hard,Infrastructure/DevTools,
ZooKeeper on RocksDB + Bigtable (coordination service),Hard,Infrastructure/DevTools,
Pub/Sub with Backpressure (bounded queues; flow control),Hard,Infrastructure/DevTools,
"Distributed Multi‑Level Cache (coherence, TTL, stampede control)",Hard,Infrastructure/DevTools,
"Identity & Access (AuthN/AuthZ, roles, keys rotation)",Hard,Identity/Security/Legal,
"Payment Fraud / Risk Engine (features, scoring, decisions)",Hard,Fintech/Commerce,
Surge Pricing & ETA Estimation (rides),Hard,Fintech/Commerce,
"Food Ordering at Scale (kitchens, riders, SLAs, tracking)",Hard,Mobility/Transportation,
Omni‑Channel Inventory & Price Sync (near‑real time),Hard,Fintech/Commerce,
"Feature Flag Service (multi‑env, targeting, audit)",Hard,Infrastructure/DevTools,
"Geo‑based Car Marketplace Fast Lookup (proximity, indexing, filters)",Hard,Commerce/Retail,
Java GC (Eden/Survivor/Tenured/Perm) – simplified implementation,Hard,Systems/Runtime,
